Field,Count
orcid-message,361209
orcid-message.orcid-profile,361209
orcid-message.orcid-profile.orcid-id,361209
orcid-message.orcid-profile.orcid,361209
orcid-message.orcid-profile.orcid-history.claimed,361209
orcid-message.orcid-profile.orcid-history.creation-method,361209
orcid-message.orcid-profile.orcid-preferences.locale,361209
orcid-message.orcid-profile.orcid-history.submission-date,361209
orcid-message.message-version,361209
orcid-message.orcid-profile.orcid-history.last-modified-date,361209
orcid-message.orcid-profile.orcid-preferences,361209
orcid-message.orcid-profile.orcid-history,361209
orcid-message.orcid-profile.orcid-bio.personal-details.given-names,361177
orcid-message.orcid-profile.orcid-bio,361177
orcid-message.orcid-profile.orcid-bio.personal-details,361177
orcid-message.orcid-profile.orcid-bio.personal-details.family-name,356064
orcid-message.orcid-profile.orcid-history.completion-date,189496
orcid-message.orcid-profile.orcid-bio.biography,73193
orcid-message.orcid-profile.orcid-activities.orcid-works.orcid-work.work-source,69924
orcid-message.orcid-profile.orcid-activities.orcid-works.orcid-work,69924
orcid-message.orcid-profile.orcid-activities,69924
orcid-message.orcid-profile.orcid-activities.orcid-works,69924
orcid-message.orcid-profile.orcid-activities.orcid-works.orcid-work.work-title.title,69835
orcid-message.orcid-profile.orcid-activities.orcid-works.orcid-work.work-title,69835
orcid-message.orcid-profile.orcid-activities.orcid-works.orcid-work.work-citation.citation,65759
orcid-message.orcid-profile.orcid-activities.orcid-works.orcid-work.work-citation,65759
orcid-message.orcid-profile.orcid-activities.orcid-works.orcid-work.work-citation.work-citation-type,65759
orcid-message.orcid-profile.orcid-bio.external-identifiers.external-identifier.external-id-reference,65444
orcid-message.orcid-profile.orcid-bio.external-identifiers.external-identifier.orcid,65444
orcid-message.orcid-profile.orcid-bio.external-identifiers.external-identifier,65444
orcid-message.orcid-profile.orcid-bio.external-identifiers.external-identifier.external-id-url,65444
orcid-message.orcid-profile.orcid-bio.external-identifiers,65444
orcid-message.orcid-profile.orcid-bio.external-identifiers.external-identifier.external-id-common-name,65444
orcid-message.orcid-profile.orcid-bio.external-identifiers.external-identifier.external-id-orcid,65440
orcid-message.orcid-profile.orcid-activities.orcid-works.orcid-work.work-external-identifiers,62414
orcid-message.orcid-profile.orcid-activities.orcid-works.orcid-work.work-external-identifiers.work-external-identifier.work-external-identifier-type,62414
orcid-message.orcid-profile.orcid-activities.orcid-works.orcid-work.work-external-identifiers.work-external-identifier,62414
orcid-message.orcid-profile.orcid-activities.orcid-works.orcid-work.work-external-identifiers.work-external-identifier.work-external-identifier-id,62414
orcid-message.orcid-profile.orcid-activities.orcid-works.orcid-work.work-contributors.contributor,61973
orcid-message.orcid-profile.orcid-activities.orcid-works.orcid-work.work-contributors,61973
orcid-message.orcid-profile.orcid-activities.orcid-works.orcid-work.publication-date,54226
orcid-message.orcid-profile.orcid-activities.orcid-works.orcid-work.publication-date.year,54217
orcid-message.orcid-profile.orcid-activities.orcid-works.orcid-work.work-type,48462
